ORDER_ID,ORDER_ITEM_ID,MATNR,QUANTITY,TOTAL_PRICE
5421,5249,19086678,1,19950.0
5421,5250,19089163,1,11500.0
5422,5251,25015685,2,3000.0
5521,5341,19070055,1,9590.0
5521,5342,19100902,2,1950.0
5541,5361,19072327,1,36600.0
5681,5501,19109483,1,7350.0
5721,5521,59008209,1,39900.0
5721,5522,19089069,1,29900.0
5725,5528,19106681,1,3290.0
5761,5532,19110639,1,19000.0
5782,5542,19110639,1,19000.0
5821,5563,19101646,1,5460.0
5861,5621,19086661,1,7990.0
5921,5681,19113183,1,13280.0
5941,5701,19096148,1,7600.0
5941,5702,19090819,1,1750.0
5963,5706,19071054,1,2990.0
5981,5721,19112184,1,17900.0
5982,5722,19055698,1,31900.0
5983,5724,59010014,1,21700.0
5983,5725,19081405,1,7500.0
6043,5783,59001664,1,15500.0
6061,5801,19042859,1,5400.0
6062,5802,19063493,1,5250.0
6063,5803,19100689,1,26900.0
6122,5842,19086647,1,3800.0
6122,5843,19086639,1,1750.0
6122,5844,59010018,1,25200.0
6141,5862,19086644,1,12900.0
6164,5881,19110751,1,6930.0
6281,6001,59003879,1,9900.0
6381,6102,19109094,1,3900.0
6421,6141,59010274,1,23900.0
6461,6181,59010160,1,5900.0
6481,6202,19077278,1,3990.0
6562,6282,19038032,4,11600.0
6641,6341,59010019,1,26180.0
6701,6401,19027038,1,720.0
6701,6403,19071896,1,1330.0
6701,6404,19036625,1,1400.0
6701,6405,19067391,1,1820.0
6701,6407,19067790,1,1400.0
6701,6408,19025941,1,1495.0
6741,6421,19071517,1,1680.0
6761,6442,19096160,1,6800.0
6983,6644,19111536,2,33000.0
6984,6645,19111536,1,16500.0
7026,6688,59010272,1,19900.0
7061,6721,19110507,1,10900.0
7241,6881,19036616,2,8120.0
7241,6882,19078503,1,990.0
7601,7202,59005790,1,32900.0
7761,7361,19100904,1,975.0
7761,7362,19096148,1,7600.0
8184,7767,19097665,1,23900.0
8187,7770,19097665,1,23900.0
8202,7782,19037268,1,7920.0
8202,7784,19043207,1,6975.0
8222,7805,59005789,1,26900.0
8241,7812,19076889,2,4480.0
8322,7842,19045725,1,6650.0
8322,7843,19110736,2,39810.0
8361,7861,19088806,1,15900.0
8481,7981,19090827,1,4590.0
8622,8122,19045814,1,1890.0
8622,8123,19110086,1,3150.0
8641,8141,19035150,1,2200.0
8641,8143,19077264,1,1090.0
8681,8181,19112184,1,17900.0
8743,8244,19109283,1,8320.0
8801,8301,19045726,1,5530.0
8821,8321,19111299,1,3010.0
8821,8322,19111275,1,4900.0
9001,8482,19111300,1,3010.0
9001,8483,19111291,1,5600.0
9001,8484,19111297,1,3220.0
9321,8761,19072320,1,34900.0
9361,8801,19091915,1,11500.0
9401,8841,19077275,1,2730.0
2221,2201,19112683,1,30900.0
2221,2202,19097400,1,32900.0
2221,2203,19089163,1,11500.0
2221,2204,19097402,1,17990.0
2221,2205,19097405,1,36900.0
2221,2206,59008117,1,20900.0
2221,2207,19110327,2,13800.0
2221,2208,19105348,1,2690.0
2221,2209,59008078,1,11500.0
2301,2267,59008825,1,28900.0
2361,2321,19077657,1,22400.0
2401,2361,19112184,1,19900.0
2402,2362,19112184,1,19900.0
2421,2381,19071113,18,34020.0
2621,2541,19070089,1,11865.0
2722,2642,19111300,1,3010.0
2865,2785,59008825,1,28900.0
2866,2786,59008825,1,28900.0
2867,2787,59008825,1,28900.0
2868,2788,59008825,1,28900.0
2901,2821,19089077,2,7000.0
2941,2861,19112399,1,1750.0
2941,2862,19100903,1,975.0
2941,2863,19112395,1,1680.0
2941,2864,19096161,1,6800.0
3001,2921,19088103,1,4900.0
3141,3061,19068789,1,8925.0
3221,3141,59008845,1,19200.0
3241,3161,59010015,1,22400.0
3342,3262,59008061,1,15500.0
3361,3281,19062249,1,16915.0
3481,3401,19091925,1,34600.0
3482,3402,19110870,1,17900.0
3521,3441,19110590,1,12900.0
3542,3464,19110084,1,1750.0
3542,3465,19110088,1,3850.0
3542,3466,19110086,1,3150.0
3543,3467,19090204,1,2790.0
3543,3468,19062263,1,4100.0
3581,3501,19096162,1,6800.0
3581,3502,19090820,1,1750.0
3601,3521,19067389,1,1820.0
3601,3522,19045726,1,5530.0
3601,3523,19067386,1,1260.0
3601,3524,19067395,3,1890.0
3661,3581,19046608,6,9240.0
3761,3681,59003559,1,37900.0
3821,3741,19111578,1,9900.0
3901,3821,19072329,1,29900.0
3942,3844,19077060,1,3900.0
3943,3845,19077060,1,3900.0
4061,3961,19086613,1,18500.0
4061,3962,19090935,1,21500.0
4061,3963,19110881,1,12300.0
4182,4082,59000334,1,22500.0
4183,4083,59000334,1,22500.0
4481,4321,19109094,1,3900.0
4481,4322,19109095,1,3900.0
4541,4381,19097434,1,17600.0
4581,4421,19110089,1,6090.0
4581,4422,19110086,1,3150.0
4581,4423,59010159,2,11800.0
4581,4424,19084436,1,4060.0
4682,4522,19111306,1,11200.0
4682,4523,19111272,1,4830.0
4721,4561,19111292,2,5600.0
4721,4562,19086666,1,4500.0
4721,4563,19097320,2,5400.0
4721,4564,19055589,1,10900.0
4721,4565,19111280,1,5600.0
4721,4566,19105348,2,5380.0
4721,4567,19089133,1,11400.0
4721,4568,19089135,1,7300.0
4722,4569,19087090,1,2990.0
4722,4570,25017291,1,190.0
4722,4571,25017725,3,870.0
4722,4572,25018024,5,1450.0
4722,4573,25017719,5,950.0
4722,4574,25017718,3,570.0
4722,4575,25017489,1,390.0
4722,4576,25016982,2,580.0
4722,4577,25017724,2,780.0
4722,4578,25017679,4,516.0
4722,4579,25014349,1,990.0
4724,4582,19077769,1,2600.0
4724,4583,19111578,2,19800.0
4741,4601,25016092,1,39.0
4741,4602,25016087,1,290.0
4741,4603,25016091,1,39.0
4741,4604,25017722,1,250.0
4741,4605,25017489,1,390.0
4741,4606,25017725,1,290.0
4801,4661,19090401,1,4550.0
4801,4662,19111265,1,8260.0
4861,4701,19097824,1,7900.0
4861,4702,19110330,1,12900.0
4881,4703,19072320,1,34900.0
5042,4862,19101668,1,5600.0
5141,4941,19024135,1,4900.0
5181,4981,19111301,1,5250.0
5222,5023,19112403,1,1680.0
5222,5024,19112395,1,1680.0
5301,5101,19097402,1,17990.0
5301,5102,19102426,1,25900.0
5301,5103,59008117,2,41800.0
5301,5104,19097400,1,32900.0
5301,5105,19076885,1,6650.0
