,ID,MATNR,IMAGE_URL
121,"21,348",19050183,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19050183_TMPN200136-IT-Vintage-Livingroom-Lasune-Sofa-Modern_A_A4.jpg
122,"24,061",59000454,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59000454_TMPN300030-RT-KC-Livingroom-Maximus2.4m-Modern_A_A4.jpg
123,"32,422",25009934,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009934_NMI500273-IT-SBDS-Home Decoration-DE1267-Metal table lamp-Modern_A_A4.jpg
124,"32,346",25009309,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009309_NMI500428-IT-SBDS-Home Decoration-84883-Decoration-Vintage_A_A4.jpg
125,"32,469",25009630,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009630_NMI500410-IT-SBDS-Home Decoration-DE1561-Wood fish wall plaque-Vintage_A_A4.jpg
126,"32,132",19060299,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19060299_TMPN100355-IT-SB-Living-Porta100354-Bed-Modern Italian_A_A4.jpg
127,"32,636",19025908,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19025908_TMPN100337-IT-SB-Kid Bedroom-Myzone Kid 100337-Bed-Modern Italian_A_A4.jpg
128,"32,113",19052199,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19052199_TMPN100354-IT-SB-Bedroom-Evelyn100354-Bed-Modern Classic_A_A4.jpg
129,"29,626",59001833,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59001833_TMPN300144-RT-KC-Office-Brain-Personal-Contemporary_A_A4.jpg
130,"29,628",19049868,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19049868_TMPN300373-IT-KC-Livingroom-Teminus-LC120-Modern_A_A4.jpg
131,"26,246",19044865,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19044865_TMPN100319-IT-SB-Bedroom-Sinatra100319-Bed-Modern Italian_A_A4.jpg
132,"14,363",19050048,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19050048_TMPN300599-IT-KC-Kitchen-Contrino-DKH-90-Contemporary_A_A4.jpg
133,"31,911",25009920,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009920_NMI500396-IT-SBDS-Home Decoration-YA-H81069B-MDF photo frame-Vintage_A_A4.jpg
134,"21,517",19050381,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19050381_TMPN200025-IT-Juve-Livingroom-Natsu-Armchair-Neo Baroque_A_A4.jpg
135,"23,362",19041510,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19041510_TMPN100001-IT-SB-Bedroom-Vertical100001-Bed-Modern Italian_A_A4.jpg
136,"30,267",19042359,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19042359_TMPN100267-IT-SB-Living Room-Trizz100267-Low Cabinet-Modern Italian_A_A4.jpg
137,"30,269",19044426,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19044426_TMPN100217-IT-SB-Living-Spazio100217-Sideboard-Modern Italian_A_A4.jpg
138,"30,275",19044430,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19044430_TMPN100218-IT-SB-Living-Spazio100218-Sideboard-Modern Italian_A_A4.jpg
139,"30,276",19044438,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19044438_TMPN100220-IT-SB-Living-Spazio100220-Sideboard-Modern Italian_A_A4.jpg
140,"32,322",25009312,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009312_NMI500423-IT-SBDS-Home Decoration-58079-Decorative-Vintage_A_A4.jpg
141,"32,331",25009285,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009285_NMI500422-IT-SBDS-Home Decorative-10329-Decorative-Vintage_A_A4.jpg
