"ITEM_ID","IDEABOOK_ID","MATNR","INSPIRATION_ID","IMAGE_ID","ITEM_TYPE","PHOTO_ID"
"6,269","10,807","59008017",,,MDM_CYBER,
"6,271","10,807","59006456",,,MDM_CYBER,
"6,274","10,807","19067402",,,MDM_CYBER,
"6,285","10,813","19086668",,,MDM_CYBER,
"6,290","10,813","19047935",,,MDM_CYBER,
"6,297","10,813","19086646",,,MDM_CYBER,
"6,298","10,813","19085620",,,MDM_CYBER,
"6,299","10,813","19047099",,,MDM_CYBER,
"6,404","10,941",,"2,301",,INSPIRATION,
"6,443","6,221","19097826",,,MDM_CYBER,
"6,444","6,221","19086674",,,MDM_CYBER,
"6,445","11,089","19111546",,,MDM_CYBER,
"6,449","11,089","19085510",,,MDM_CYBER,
"6,465","11,101","19101666",,,MDM_CYBER,
"6,486","11,141","59004102",,,MDM_CYBER,
"6,487","11,141","59006481",,,MDM_CYBER,
"6,543","11,263","19077060",,,MDM_CYBER,
"6,544","11,273",,"2,600",,INSPIRATION,
"6,562","11,323","59010050",,,MDM_CYBER,
"6,584","11,403","59002916",,,MDM_CYBER,
"6,596","11,425","19109482",,,MDM_CYBER,
"6,601","11,431","19077469",,,MDM_CYBER,
"6,603","11,425","19080285",,,MDM_CYBER,
"6,605","11,425","19097823",,,MDM_CYBER,
"6,606","11,425","19097825",,,MDM_CYBER,
"6,622","11,445","19063489",,,MDM_CYBER,
"6,624","11,445","19097819",,,MDM_CYBER,
"6,626","11,448","19096179",,,MDM_CYBER,
"6,642","5,086",,"2,600",,INSPIRATION,
"6,685","11,506","59008822",,,MDM_CYBER,
"6,715","11,520","19068743",,,MDM_CYBER,
"6,716","11,520","19068729",,,MDM_CYBER,
"3,042",981,,"2,041",,INSPIRATION,
"3,222","3,409","19105349",,,MDM_CYBER,
"3,304","3,472","59006660",,,MDM_CYBER,
"3,331","3,506","19056219",,,MDM_CYBER,
"3,342","3,542","19086613",,,MDM_CYBER,
"3,354","3,542","25013554",,,MDM_CYBER,
"3,360","3,546","19088233",,,MDM_CYBER,
"3,462","3,825","59008341",,,MDM_CYBER,
"3,482","3,842","19037267",,,MDM_CYBER,
"3,522","3,544","19094371",,,MDM_CYBER,
"3,551","3,542","19067390",,,MDM_CYBER,
"3,624","4,061","19086638",,,MDM_CYBER,
"3,630","3,905","19096185",,,MDM_CYBER,
"3,631","3,905","59007257",,,MDM_CYBER,
"3,662","4,119","59002916",,,MDM_CYBER,
"3,664","4,119","19037845",,,MDM_CYBER,
"3,706","4,409","19096173",,,MDM_CYBER,
"3,707","4,409","19096191",,,MDM_CYBER,
